Código Produto;Produto;Quantidade em Estoque;Código Acesso;Dias Ult. Entrada;Custo Liq. Unitário
34290;CALCA FEM BRANCA TODA ELASTICO T38 CEDROPAC;13;1877274;537;31,9813
32663;CALCA FEM DIPLO PRETO 40;17;7903459;151;57,0547
32665;CALCA FEM DIPLO PRETO 42;7;790369;354;61,0222
32666;CALCA FEM DIPLO PRETO 44;3;790376;354;64,174
32667;CALCA FEM DIPLO PRETO 48;5;7903839;221;67,9196
32668;CALCA FEM DIPLO PRETO 50;7;7903909;221;64,7382
28630;CALCA FEM DIPLO PTO 36;13;920964;151;55,0204
32593;CALCA FEM ELAST CEDROPAC BCO 56;2;14736;579;41,417
32752;CALCA FEM ELAST DEDROPAC BCO 54;1;9450119;579;37,5988
32893;CALCA FEM ELEGAN BI ELAST PTO 38;6;1134834;151;55,1794
32745;CALCA GEST PADARIA 44;1;991445;537;61,8345
47200;CALCA GESTANTE COS SUP BLUE T 38;6;47200;118;78,3317
47201;CALCA GESTANTE COS SUP BLUE T 40;6;47201;118;78,3317
47202;CALCA GESTANTE COS SUP BLUE T 50;2;47202;118;95,5
47278;CALCA GESTANTE COS SUPLEX BCO T 48 CEDROPAC;4;47278;118;87,475
47279;CALCA GESTANTE COS SUPLEX BCO T 50 CEDROPAC;2;47279;118;95,6
35751;CALCA GESTANTE COS SUPLEX T 38;3;14878;588;44,52
50919;CALCA GESTANTE COS SUPLEX T 42 DENIM BLUE;7;50919;118;80,1143
50920;CALCA GESTANTE COS SUPLEX T 44 DENIM BLUE;2;50920;882;71,1875
47205;CALCA GESTANTE COS SUPLEX T 48 DENIM BLUE;2;47205;118;95,5
45984;CALCA GESTANTE COS SUPLEX T46 BCO;2;45984;118;85,6
32714;CALCA GESTANTE SUP BI ELAST PTO 36;7;8958599;161;71,3333
32700;CALCA GESTANTE SUP BI ELAST PTO 40;4;911139;161;61,835
32699;CALCA GESTANTE SUP BI ELAST PTO 44;1;875073;537;61,8345
34307;CALCA GESTANTE SUP BI ELAST TO T 38;2;77292834;161;61,835
34314;CALCA JEANS MASC T 48;1;1879117;588;33,9773
27280;CALCA JEANS MASC TRAD;2;681124;499;38,0545
36889;CALCA LYCRA FEM BASICA UNICA TAM 36;3;1245;499;33,99
36884;CALCA LYCRA FEM BASICA UNICA TAM 38;4;1236;499;34,135
36887;CALCA LYCRA FEM BASICA UNICA TAM 42;1;1239;499;33,7744
36883;CALCA LYCRA FEM BASICA UNICA TAM 48;4;1234;499;35,475
36886;CALCA LYCRA FEM BASICA UNICA TAM 50;2;1238;1.078,00;36,14
